iteration,a1(n: x),a2(n: x),a3(n: x),a4(n: x)
0,1.0,0.5,0.5,0.5
1,1.0,0.5,0.5,0.5459634371155564
2,1.0,0.5967476963447259,0.5068391611135566,0.5893710717176948
3,1.0,0.6670927682331595,0.5371843779130973,0.6256348551074326
4,1.0,0.7130776522901668,0.57814614738806,0.6569430024630813
5,1.0,0.7400697880033434,0.6173554046783887,0.6844426373899497
6,1.0,0.7545423368976703,0.6483358899037395,0.707774272712953
7,1.0,0.7618015618212859,0.6700111690324174,0.7263864193702065
8,1.0,0.7652781561278077,0.6840133971975755,0.7403182080549868
9,1.0,0.7668897608906311,0.6925894746822205,0.7501837663430245
10,1.0,0.7676181813113451,0.697654297552975,0.7568590315368211
11,1.0,0.7679399723218853,0.7005697048528228,0.7612129654116329
12,1.0,0.7680786987880834,0.7022167698358766,0.7639699843424063
13,1.0,0.7681367356684647,0.7031342273935797,0.7656742285772483
14,1.0,0.7681600308876653,0.7036396684688644,0.7667069892335576
15,1.0,0.7681688021607345,0.7039156657645828,0.767322547557347
16,1.0,0.7681717460579707,0.7040652783571945,0.7676843367682264
17,1.0,0.7681724962807628,0.7041458842745411,0.7678944444232355
18,1.0,0.7681725103264774,0.7041890848709106,0.768015208051449
19,1.0,0.7681723367691391,0.7042121333548622,0.7680839961903444
20,1.0,0.7681721596894956,0.7042243815074415,0.768122869073295
21,1.0,0.7681720259967397,0.7042308674870734,0.7681446827297702
22,1.0,0.7681719365733591,0.7042342914138764,0.7681568470647739
23,1.0,0.7681718805730543,0.7042360938416526,0.7681635924339383
24,1.0,0.7681718469285724,0.7042370402865803,0.7681673139431169
25,1.0,0.7681718272841624,0.704237536124246,0.7681693577217835
26,1.0,0.7681718160508723,0.7042377953505919,0.7681704754290171
27,1.0,0.7681718097286848,0.7042379306174976,0.768171084344507
28,1.0,0.7681718062148197,0.7042380010778102,0.7681714149096479
